N1309,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,KPÖ,PIRAT,CPÖ,WANDL,M,EUAUS,SLP,
G61754,Waisenegg,927,717,17,700,109,221,200,16,30,98,12,3,3,8,,,,,
G61755,Weiz,7248,4488,80,4408,1446,493,806,130,566,702,121,88,38,18,,,,,
G61799,Wahlkarten - Weiz,0,5117,65,5052,976,1156,820,168,839,764,185,88,34,22,,,,,
G62000,Murtal,60190,46148,563,45585,14412,8195,11259,2120,3084,3957,1192,1067,224,75,,,,,
G62001,Amering,894,651,10,641,141,293,95,22,38,34,12,5,1,0,,,,,
G62002,Apfelberg,926,626,6,620,241,54,155,18,49,61,18,21,3,0,,,,,
G62003,Bretstein,258,213,7,206,36,31,64,10,17,27,6,11,3,1,,,,,
G62004,Eppenstein,1040,762,12,750,176,254,157,28,32,69,12,13,8,1,,,,,
G62005,Feistritz bei Knittelfeld,622,489,1,488,155,77,111,29,44,48,15,6,3,0,,,,,
G62006,Flatschach,167,130,3,127,17,33,45,11,3,12,1,5,0,0,,,,,
G62007,Fohnsdorf,6692,4461,47,4414,1463,490,1184,198,297,496,132,122,23,9,,,,,
G62008,Gaal,1174,873,11,862,173,334,181,43,37,59,21,9,3,2,,,,,
G62009,Großlobming,968,670,7,663,213,129,174,29,50,42,17,5,3,1,,,,,
G62010,Hohentauern,392,234,2,232,77,45,56,7,13,24,5,3,1,1,,,,,
G62011,Judenburg,7697,4894,62,4832,1698,545,1356,231,327,369,138,147,19,2,,,,,
G62012,Kleinlobming,534,359,4,355,42,97,84,53,16,36,12,3,2,10,,,,,
G62013,Knittelfeld,8774,5390,50,5340,2132,431,1521,203,304,383,130,214,17,5,,,,,
G62014,Kobenz,1497,1041,17,1024,252,251,210,44,90,136,26,11,4,0,,,,,
G62015,Maria Buch-Feistritz,1862,1332,14,1318,295,327,306,80,87,153,47,13,6,4,,,,,
G62016,Obdach,1676,1161,18,1143,322,270,302,53,69,76,23,17,11,0,,,,,
G62017,Oberkurzheim,598,390,8,382,87,106,93,26,17,29,18,2,2,2,,,,,
G62018,Oberweg,506,357,4,353,111,81,74,15,32,23,9,5,3,0,,,,,
G62019,Oberzeiring,726,498,11,487,96,137,118,18,39,53,14,4,4,4,,,,,
G62020,Pöls,2038,1414,22,1392,583,181,339,56,71,113,28,17,3,1,,,,,
G62021,Pusterwald,411,286,4,282,60,104,66,15,4,30,1,2,0,0,,,,,
G62022,Rachau,502,367,2,365,75,115,77,32,26,24,8,6,2,0,,,,,
G62023,Reifling,328,244,2,242,75,53,58,12,12,17,8,6,1,0,,,,,
G62024,Reisstraße,146,94,3,91,21,24,32,4,5,3,0,2,0,0,,,,,
G62025,Sankt Anna am Lavantegg,335,254,4,250,91,67,55,7,5,22,1,2,0,0,,,,,
G62026,Sankt Georgen ob Judenburg,717,523,11,512,134,164,104,29,31,33,10,5,2,0,,,,,
G62027,Sankt Johann am Tauern,406,253,3,250,66,86,50,14,11,18,5,0,0,0,,,,,
G62028,Sankt Lorenzen bei Knittelfeld,668,495,2,493,128,147,110,31,26,39,2,8,1,1,,,,,
G62029,Sankt Marein bei Knittelfeld,974,690,8,682,171,154,180,48,43,64,11,9,2,0,,,,,
G62030,Sankt Margarethen bei Knittelfeld,1098,848,11,837,281,163,180,36,65,74,22,12,3,1,,,,,
G62031,Sankt Oswald-Möderbrugg,985,743,9,734,206,206,176,25,34,55,14,9,4,5,,,,,
G62032,Sankt Peter ob Judenburg,909,711,13,698,131,220,172,34,46,66,24,5,0,0,,,,,
G62033,Sankt Wolfgang-Kienberg,309,219,5,214,25,99,50,7,10,14,6,1,2,0,,,,,
G62034,Seckau,1079,825,13,812,153,339,132,30,55,72,16,6,3,6,,,,,
G62035,Spielberg,4220,2924,38,2886,1020,339,764,150,158,286,76,76,13,4,,,,,
G62036,Unzmarkt-Frauenburg,1184,804,17,787,233,160,194,40,58,67,18,15,2,0,,,,,
G62037,Weißkirchen in Steiermark,1071,749,12,737,189,171,158,52,63,63,29,8,4,0,,,,,
G62038,Zeltweg,5807,3682,34,3648,1296,320,1155,151,195,273,100,128,22,8,,,,,
G62099,Wahlkarten - Murtal,0,5492,56,5436,1747,1098,921,229,605,494,157,134,44,7,,,,,
G62100,Bruck-Mürzzuschlag,83167,63015,911,62104,22042,9184,15677,2041,4626,4914,1855,1325,303,137,,,,,
G62101,Aflenz Kurort,854,581,7,574,113,161,93,17,93,55,27,5,7,3,,,,,
G62102,Aflenz Land,1239,893,16,877,247,209,228,23,78,57,21,11,2,1,,,,,
G62103,Allerheiligen im Mürztal,1640,1180,23,1157,388,242,274,42,92,71,30,15,3,0,,,,,
G62104,Altenberg an der Rax,271,218,7,211,60,53,46,8,16,11,13,2,2,0,,,,,
G62105,Breitenau am Hochlantsch,1558,1102,30,1072,386,246,212,44,31,96,26,27,4,0,,,,,
G62106,Bruck an der Mur,10305,6451,84,6367,2294,752,1557,233,563,529,201,184,32,22,,,,,
G62107,Etmißl,417,343,11,332,53,71,113,6,21,46,12,7,2,1,,,,,
G62108,Frauenberg,127,92,4,88,24,38,16,1,1,4,3,1,0,0,,,,,
G62109,Ganz,295,205,15,190,19,49,46,22,10,24,14,3,2,1,,,,,
G62110,Gußwerk,1109,826,15,811,442,155,112,15,27,44,10,3,1,2,,,,,
G62111,Halltal,271,182,7,175,50,50,47,3,4,12,5,4,0,0,,,,,
G62112,Kapellen,527,389,10,379,114,104,95,12,14,21,15,3,0,1,,,,,
G62113,Kapfenberg,16363,9676,74,9602,3881,736,2786,261,600,715,271,285,49,18,,,,,
G62114,Kindberg,4560,3016,40,2976,1241,430,675,89,171,234,71,50,13,2,,,,,
G62115,Krieglach,4405,3002,44,2958,895,492,825,126,215,249,91,47,11,7,,,,,
G62116,Langenwang,3338,2285,30,2255,574,558,603,83,151,159,79,32,12,4,,,,,
G62117,Mariazell,1191,774,14,760,165,201,153,45,70,81,33,4,4,4,,,,,
G62118,Mitterdorf im Mürztal,2061,1362,19,1343,482,167,370,52,81,132,30,21,4,4,,,,,
G62119,Mürzhofen,799,588,14,574,236,80,112,29,42,36,27,10,2,0,,,,,
G62120,Mürzsteg,341,234,5,229,103,36,63,7,6,3,7,0,2,2,,,,,
G62121,Mürzzuschlag,6908,4372,83,4289,1747,383,1149,124,275,323,121,130,28,9,,,,,
G62122,Neuberg an der Mürz,1091,783,18,765,261,152,204,25,34,49,25,9,5,1,,,,,
G62123,Oberaich,2684,1883,27,1856,552,301,460,83,159,174,70,44,12,1,,,,,
G62124,Parschlug,1445,1023,10,1013,281,156,324,47,65,88,28,15,3,6,,,,,
G62125,Pernegg an der Mur,1993,1532,24,1508,457,272,430,56,106,118,36,24,9,0,,,,,
G62126,Sankt Ilgen,233,162,5,157,57,34,31,6,7,14,5,3,0,0,,,,,
G62127,Sankt Katharein an der Laming,880,610,7,603,211,113,173,16,24,40,17,6,3,0,,,,,
G62128,Sankt Lorenzen im Mürztal,2917,1984,30,1954,524,250,582,84,175,197,96,27,15,4,,,,,
G62129,Sankt Marein im Mürztal,2055,1375,18,1357,401,126,457,50,112,128,50,28,5,0,,,,,
G62130,Sankt Sebastian,858,615,13,602,257,120,106,24,27,47,10,9,2,0,,,,,
G62131,Spital am Semmering,1328,919,17,902,312,192,238,28,42,49,20,17,2,2,,,,,
G62132,Stanz im Mürztal,1600,1195,14,1181,394,212,310,34,73,102,35,15,2,4,,,,,
G62133,Thörl,1421,955,17,938,433,107,204,21,46,75,19,23,5,5,,,,,
G62134,Tragöß,850,635,8,627,163,160,185,29,20,34,19,11,5,1,,,,,
G62135,Turnau,1308,948,16,932,272,186,288,27,49,71,23,10,3,3,,,,,
G62136,Veitsch,2114,1488,26,1462,776,181,273,20,53,93,27,30,6,3,,,,,
G62137,Wartberg im Mürztal,1811,1220,11,1209,426,134,384,37,54,109,31,23,5,6,,,,,
G62199,Wahlkarten - Bruck-Mürzzuschlag,0,7917,98,7819,2751,1275,1453,212,1019,624,237,187,41,20,,,,,
G62200,Hartberg-Fürstenfeld,73732,58688,1030,57658,10106,18505,13501,2052,3956,6950,1604,387,304,293,,,,,
G62201,Altenmarkt bei Fürstenfeld,952,692,8,684,89,180,152,27,62,105,39,5,3,22,,,,,
G62202,Bad Blumau,1273,894,14,880,77,292,251,31,58,121,24,9,7,10,,,,,
G62203,Bad Waltersdorf,1761,1273,23,1250,156,457,257,47,84,205,28,4,8,4,,,,,
G62204,Blaindorf,552,454,11,443,77,88,144,22,19,80,6,4,3,0,,,,,
G62205,Buch-St. Magdalena,1809,1348,12,1336,223,427,353,41,74,171,30,6,5,6,,,,,
G62206,Burgau,867,619,10,609,169,150,133,24,42,61,18,6,4,2,,,,,
G62207,Dechantskirchen,1375,1009,13,996,244,384,207,15,45,65,21,3,7,5,,,,,
G62208,Dienersdorf,553,414,10,404,48,89,110,26,34,79,13,1,4,0,,,,,
G62209,Ebersdorf,1020,779,16,763,78,220,257,41,25,111,26,2,1,2,,,,,
G62210,Eichberg,1017,782,14,768,136,247,224,17,32,94,15,1,2,0,,,,,
G62211,Friedberg,2187,1658,32,1626,439,464,338,37,99,162,62,7,14,4,,,,,
G62212,Fürstenfeld,4829,3134,53,3081,567,839,660,134,276,407,110,33,21,34,,,,,
G62213,Grafendorf bei Hartberg,2087,1551,29,1522,222,526,387,36,97,205,33,10,1,5,,,,,
G62214,Greinbach,1484,1119,27,1092,179,400,275,28,49,131,20,2,8,0,,,,,
G62215,Großhart,518,411,12,399,35,115,113,19,15,99,2,0,1,0,,,,,
G62216,Großsteinbach,1057,819,10,809,72,286,209,45,49,117,15,10,3,3,,,,,
G62217,Großwilfersdorf,1143,787,11,776,103,287,168,33,43,101,18,10,3,10,,,,,
G62218,Hainersdorf,529,390,10,380,29,143,81,13,33,63,13,1,2,2,,,,,
G62219,Hartberg,5161,3372,48,3324,566,979,740,130,339,358,169,22,11,10,,,,,
G62220,Hartberg Umgebung,1707,1274,19,1255,126,595,275,46,69,103,36,4,0,1,,,,,
G62221,Hartl,673,579,7,572,48,234,136,27,16,91,15,3,1,1,,,,,
G62222,Hofkirchen bei Hartberg,520,410,15,395,41,115,95,12,30,73,20,1,6,2,,,,,
G62223,Ilz,2112,1474,24,1450,187,351,349,82,144,230,53,14,29,11,,,,,
G62224,Kaibing,338,270,6,264,63,72,64,7,7,39,4,2,3,3,,,,,
G62225,Kaindorf,1189,845,11,834,105,282,236,33,47,98,28,1,4,0,,,,,
G62226,Lafnitz,1082,835,17,818,269,208,190,28,37,69,12,4,1,0,,,,,
G62227,Limbach bei Neudau,284,242,11,231,33,68,52,14,12,38,3,3,4,4,,,,,
G62228,Loipersdorf bei Fürstenfeld,1166,813,13,800,78,223,238,34,56,133,19,3,4,12,,,,,
G62229,Mönichwald,734,591,21,570,96,171,151,29,23,70,14,8,0,8,,,,,
G62230,Nestelbach im Ilztal,949,690,17,673,76,123,213,45,50,133,9,12,3,9,,,,,
G62231,Neudau,884,610,17,593,249,87,119,15,39,64,9,9,1,1,,,,,
G62232,Ottendorf an der Rittschein,1265,840,16,824,135,203,238,26,51,139,12,5,6,9,,,,,
G62233,Pinggau,2584,1874,32,1842,417,639,428,65,83,141,48,8,8,5,,,,,
G62234,Pöllau,1760,1269,23,1246,309,370,240,45,128,103,31,10,4,6,,,,,
G62235,Pöllauberg,1773,1404,15,1389,202,531,313,37,79,180,25,10,6,6,,,,,
G62236,Puchegg,460,345,3,342,58,159,77,3,14,26,3,0,2,0,,,,,
G62237,Rabenwald,521,431,13,418,145,89,97,15,10,46,9,5,0,2,,,,,
G62238,Riegersberg,858,671,15,656,89,275,152,22,28,66,12,3,4,5,,,,,
G62239,Rohr bei Hartberg,914,648,7,641,138,196,171,20,33,67,10,4,1,1,,,,,
G62240,Rohrbach an der Lafnitz,900,659,8,651,243,94,141,49,40,52,21,9,0,2,,,,,
G62241,Saifen-Boden,900,700,16,684,100,248,201,17,32,66,9,3,8,0,,,,,
G62242,Sankt Jakob im Walde,904,660,17,643,132,279,122,15,17,59,12,1,2,4,,,,,
G62243,Sankt Johann bei Herberstein,303,235,1,234,38,60,49,12,33,31,9,1,1,0,,,,,
G62244,Sankt Johann in der Haide,1645,1181,24,1157,279,295,311,39,59,156,11,6,0,1,,,,,
G62245,Sankt Lorenzen am Wechsel,1313,971,24,947,188,393,203,23,42,78,14,3,0,3,,,,,
G62246,Schachen bei Vorau,1006,845,9,836,94,342,223,24,43,82,16,4,5,3,,,,,
G62247,Schäffern,1137,949,15,934,111,471,197,26,29,50,37,3,4,6,,,,,
G62248,Schlag bei Thalberg,778,570,6,564,215,121,118,20,27,38,17,3,5,0,,,,,
G62249,Schönegg bei Pöllau,1136,872,14,858,142,327,210,18,30,106,10,11,3,1,,,,,
G62250,Sebersdorf,1184,908,20,888,147,270,241,26,55,119,17,7,5,1,,,,,
G62251,Siegersdorf bei Herberstein,245,186,3,183,25,56,54,5,9,30,3,0,0,1,,,,,
G62252,Söchau,1206,885,11,874,140,238,221,30,75,140,17,5,1,7,,,,,
G62253,Sonnhofen,849,688,8,680,177,263,114,19,21,65,9,8,3,1,,,,,
G62254,Stambach,516,366,16,350,42,151,104,11,10,18,12,1,0,1,,,,,
G62255,Stein,420,324,7,317,27,68,100,13,26,61,8,3,0,11,,,,,
G62256,Stubenberg,1938,1285,16,1269,244,350,306,36,85,189,41,9,7,2,,,,,
G62257,Tiefenbach bei Kaindorf,593,422,10,412,57,98,124,19,23,73,12,1,4,1,,,,,
G62258,Übersbach,974,664,9,655,107,194,131,19,57,112,23,5,1,6,,,,,
G62259,Vorau,1161,795,12,783,144,292,195,26,45,44,26,3,7,1,,,,,
G62260,Vornholz,601,496,4,492,57,224,107,14,16,62,4,4,2,2,,,,,
G62261,Waldbach,599,457,6,451,81,147,111,23,35,36,11,1,6,0,,,,,
G62262,Wenigzell,1176,913,18,895,122,414,173,26,54,82,17,2,4,1,,,,,
G62263,Wörth an der Lafnitz,301,228,8,220,59,53,44,8,12,33,8,2,0,1,,,,,
G62299,Wahlkarten - Hartberg-Fürstenfeld,0,4809,83,4726,762,1493,808,163,650,524,206,47,41,32,,,,,
G62300,Südoststeiermark,73883,57013,1047,55966,9111,17774,14088,1930,3532,6994,1555,444,277,261,,,,,
G62301,Auersbach,722,573,8,565,69,238,140,16,26,62,11,1,1,1,,,,,
G62302,Aug-Radisch,244,179,4,175,6,62,70,10,4,15,6,1,1,0,,,,,
G62303,Bad Gleichenberg,1755,1045,13,1032,167,287,236,49,91,155,28,10,3,6,,,,,
G62304,Bad Radkersburg,1113,646,9,637,150,185,108,34,73,49,26,5,4,3,,,,,
G62305,Bairisch Kölldorf,854,639,15,624,216,136,149,14,29,65,8,2,3,2,,,,,
G62306,Baumgarten bei Gnas,480,349,10,339,65,103,87,13,17,36,5,8,1,4,,,,,
G62307,Bierbaum bei Auersbach,386,260,5,255,31,76,81,5,17,40,2,3,0,0,,,,,
G62308,Breitenfeld an der Rittschein,654,496,10,486,113,127,119,14,19,73,16,0,0,5,,,,,
G62309,Deutsch Goritz,1074,778,16,762,98,341,162,24,48,72,8,4,4,1,,,,,
G62310,Dietersdorf am Gnasbach,320,228,4,224,24,71,54,6,21,33,12,2,0,1,,,,,
G62311,Edelsbach bei Feldbach,1093,830,18,812,153,283,171,23,41,88,37,9,4,3,,,,,
G62312,Edelstauden,379,263,2,261,33,80,71,13,17,40,3,3,0,1,,,,,
G62313,Eichfeld,755,580,14,566,94,194,127,22,28,84,12,3,1,1,,,,,
G62314,Eichkögl,1021,685,11,674,93,179,217,20,37,98,19,7,3,1,,,,,
G62315,Fehring,2505,1646,22,1624,332,501,418,38,114,149,45,12,10,5,,,,,
G62316,Feldbach,3446,1996,33,1963,529,365,482,59,164,231,75,29,16,13,,,,,
G62317,Fladnitz im Raabtal,624,429,4,425,83,117,130,5,14,61,7,3,4,1,,,,,
G62318,Frannach,467,366,3,363,45,132,115,6,19,30,11,2,3,0,,,,,
G62319,Frutten-Gießelsdorf,548,376,10,366,54,161,71,14,18,41,2,3,1,1,,,,,
G62320,Glojach,205,163,8,155,9,28,57,11,8,31,7,1,0,3,,,,,
G62321,Gnas,1616,1175,27,1148,112,459,291,40,73,140,23,3,5,2,,,,,
G62322,Gniebing-Weißenbach,1783,1192,21,1171,178,314,310,62,86,150,48,10,3,10,,,,,
G62323,Gosdorf,933,647,16,631,153,166,172,17,20,80,15,3,3,2,,,,,
G62324,Gossendorf,731,541,14,527,81,150,171,20,27,55,16,1,5,1,,,,,
G62325,Grabersdorf,279,192,9,183,12,67,44,10,10,32,2,5,1,0,,,,,
G62326,Halbenrain,1508,1021,28,993,138,361,257,33,46,122,22,5,8,1,,,,,
G62327,Hatzendorf,1504,1025,19,1006,135,323,254,27,70,150,22,8,8,9,,,,,
G62328,Hof bei Straden,705,505,10,495,65,181,113,22,28,79,6,1,0,0,,,,,
G62329,Hohenbrugg-Weinberg,823,627,11,616,155,180,149,21,33,52,8,8,5,5,,,,,
G62330,Jagerberg,1418,1025,18,1007,113,367,270,37,46,141,16,9,1,7,,,,,
G62331,Johnsdorf-Brunn,637,464,5,459,96,168,100,13,17,50,9,3,3,0,,,,,
G62332,Kapfenstein,1335,944,16,928,157,323,247,32,40,90,24,4,9,2,,,,,
G62333,Kirchbach in Steiermark,1298,879,12,867,99,281,192,44,57,141,36,7,6,4,,,,,
G62334,Kirchberg an der Raab,1682,1185,18,1167,198,295,335,45,76,162,34,7,6,9,,,,,
G62335,Klöch,1052,721,27,694,73,329,136,25,39,72,7,6,6,1,,,,,
G62336,Kohlberg,437,334,11,323,69,76,80,11,10,63,8,4,1,1,,,,,
G62337,Kornberg bei Riegersburg,952,705,11,694,91,218,189,24,39,83,38,5,2,5,,,,,
G62338,Krusdorf,328,246,2,244,18,103,59,3,11,42,4,3,1,0,,,,,
G62339,Leitersdorf im Raabtal,555,416,5,411,110,88,113,18,32,33,12,3,0,2,,,,,
G62340,Lödersdorf,583,412,10,402,59,123,96,17,19,59,19,3,7,0,,,,,
G62341,Maierdorf,458,350,9,341,35,158,78,10,10,41,3,4,0,2,,,,,
G62342,Merkendorf,963,647,7,640,129,159,195,17,28,89,16,6,1,0,,,,,
G62343,Mettersdorf am Saßbach,1078,761,11,750,117,258,192,21,29,115,12,2,4,0,,,,,
G62344,Mitterlabill,341,253,6,247,17,94,61,8,17,40,8,0,1,1,,,,,
G62345,Mühldorf bei Feldbach,2597,1793,26,1767,315,473,431,66,133,257,56,15,11,10,,,,,
G62346,Mureck,1273,740,16,724,165,155,183,43,71,66,25,13,2,1,,,,,
G62347,Murfeld,1405,960,28,932,178,256,268,21,61,105,33,3,4,3,,,,,
G62348,Oberdorf am Hochegg,635,428,8,420,87,130,111,9,18,52,8,3,1,1,,,,,
G62349,Oberstorcha,501,350,7,343,62,93,111,9,10,47,8,2,0,1,,,,,
G62350,Paldau,1740,1237,10,1227,209,389,320,34,40,192,24,7,3,9,,,,,
G62351,Perlsdorf,297,252,7,245,23,76,65,8,17,37,10,3,0,6,,,,,
G62352,Pertlstein,664,458,8,450,99,120,109,9,20,64,22,4,1,2,,,,,
G62353,Petersdorf II,706,504,6,498,52,115,172,24,26,71,19,9,4,6,,,,,
G62354,Pirching am Traubenberg,1268,904,7,897,95,312,267,31,57,90,21,11,4,9,,,,,
G62355,Poppendorf,573,450,14,436,40,168,114,9,13,64,17,3,3,5,,,,,
G62356,Raabau,481,372,7,365,73,127,68,10,42,27,13,2,0,3,,,,,
G62357,Radkersburg Umgebung,1469,973,26,947,162,336,193,42,69,104,27,12,2,0,,,,,
G62358,Raning,653,494,15,479,42,150,160,23,11,73,15,3,2,0,,,,,
G62359,Ratschendorf,522,403,7,396,92,110,76,11,27,54,11,9,2,4,,,,,
G62360,Riegersburg,1959,1375,30,1345,167,483,312,42,93,190,32,12,12,2,,,,,
G62361,Sankt Anna am Aigen,1507,1018,15,1003,107,395,292,30,38,117,16,4,3,1,,,,,
G62362,Sankt Peter am Ottersbach,1901,1324,16,1308,286,421,311,31,56,148,37,3,11,4,,,,,
G62363,Sankt Stefan im Rosental,3122,2249,34,2215,333,723,581,74,114,282,67,13,7,21,,,,,
G62364,Schwarzau im Schwarzautal,529,393,8,385,41,148,87,18,15,63,6,2,3,2,,,,,
G62365,Stainz bei Straden,802,588,8,580,83,188,167,15,47,52,23,3,2,0,,,,,
G62366,Straden,1283,963,22,941,124,370,218,29,67,96,24,4,3,6,,,,,
G62367,Studenzen,562,415,2,413,73,74,143,17,32,61,9,2,2,0,,,,,
G62368,Tieschen,1130,812,17,795,185,260,159,36,33,87,19,11,5,0,,,,,
G62369,Trautmannsdorf in Oststeiermark,727,495,4,491,126,129,122,11,28,62,7,2,2,2,,,,,
G62370,Trössing,227,161,4,157,9,43,54,11,5,32,1,0,1,1,,,,,
G62371,Unterauersbach,368,298,22,276,21,87,82,13,11,48,8,4,1,1,,,,,
G62372,Unterlamm,1046,706,19,687,72,252,239,12,21,74,5,2,2,8,,,,,
G62373,Weinburg am Saßbach,856,615,16,599,88,218,145,24,34,67,14,0,1,8,,,,,
G62374,Zerlach,1436,1110,16,1094,94,311,378,65,64,141,28,8,2,3,,,,,
G62399,Wahlkarten - Südoststeiermark,0,5379,80,5299,834,1755,981,180,591,637,202,57,36,26,,,,,
G70000,Tirol,537042,359841,4884,354957,64923,114754,68761,10652,53910,19854,17344,2370,2389,,,,,,
G7A000,Innsbruck,88762,58556,746,57810,11456,12238,10367,1310,14015,2590,4527,785,522,,,,,,
G7A099,Wahlkarten - Innsbruck,0,396,7,389,29,80,27,14,135,8,79,9,8,,,,,,
G7B000,Innsbruck-Land,187465,127938,1548,126390,23377,39723,24918,3882,19488,7199,6249,769,785,,,,,,
G7B099,Wahlkarten - Innsbruck-Land,0,276,5,271,40,57,29,7,91,8,35,2,2,,,,,,
G7C000,Unterland,121008,81948,1008,80940,14610,26833,17025,2498,10399,5368,3297,394,516,,,,,,
G7C099,Wahlkarten - Unterland,0,182,0,182,22,57,17,10,53,6,16,1,0,,,,,,
G7D000,Oberland,99686,64824,971,63853,11287,25596,11605,1931,7255,3286,2211,282,400,,,,,,
G7D099,Wahlkarten - Oberland,0,139,2,137,11,41,13,6,41,5,15,3,2,,,,,,
G7E000,Osttirol,40121,26538,574,25964,4193,10364,4846,1031,2753,1411,1060,140,166,,,,,,
G7E099,Wahlkarten - Osttirol,0,145,2,143,22,32,16,5,44,2,17,0,5,,,,,,
G70099,Wahlkarten - Tirol,0,37,37,0,0,0,0,0,0,0,0,0,0,,,,,,
G70100,Innsbruck(Stadt),88762,58160,739,57421,11427,12158,10340,1296,13880,2582,4448,776,514,,,,,,
G70101,Innsbruck,88762,50064,656,49408,10244,10065,9598,1186,11135,2323,3727,668,462,,,,,,
G70199,Wahlkarten - Innsbruck(Stadt),0,8096,83,8013,1183,2093,742,110,2745,259,721,108,52,,,,,,
G70200,Imst,43200,27455,462,26993,4472,9953,5428,1002,3246,1533,1064,129,166,,,,,,
G70201,Arzl im Pitztal,2338,1438,19,1419,276,495,282,73,149,68,55,12,9,,,,,,
G70202,Haiming,3382,1920,34,1886,398,538,412,64,242,134,72,5,21,,,,,,
G70203,Imst,6998,4098,64,4034,727,1248,904,97,604,230,176,22,26,,,,,,
G70204,Imsterberg,623,384,10,374,68,165,88,12,24,11,2,2,2,,,,,,
G70205,Jerzens,725,469,7,462,64,163,97,84,25,18,8,0,3,,,,,,
G70206,Karres,492,307,8,299,56,134,58,4,13,20,10,3,1,,,,,,
G70207,Karrösten,563,355,2,353,87,131,77,7,24,17,9,0,1,,,,,,
G70208,Längenfeld,3293,1890,34,1856,205,965,357,75,120,70,53,5,6,,,,,,
G70209,Mieming,2599,1659,28,1631,199,514,346,77,279,104,98,6,8,,,,,,
G70210,Mils bei Imst,451,316,4,312,61,105,54,10,48,13,19,0,2,,,,,,
G70211,Mötz,918,561,9,552,92,183,103,25,89,41,14,2,3,,,,,,
G70212,Nassereith,1613,871,17,854,148,325,178,22,78,60,33,7,3,,,,,,
G70213,Obsteig,898,579,9,570,64,199,111,20,101,40,28,4,3,,,,,,
G70214,Oetz,1766,1059,22,1037,146,418,181,35,121,65,59,4,8,,,,,,
G70215,Rietz,1749,923,17,906,245,219,204,19,105,60,40,7,7,,,,,,
G70216,Roppen,1326,772,8,764,200,292,134,14,58,35,22,4,5,,,,,,
G70217,St. Leonhard im Pitztal,1141,584,4,580,46,309,129,33,24,26,7,0,6,,,,,,
G70218,Sautens,1057,596,6,590,107,227,107,17,59,41,25,1,6,,,,,,
G70219,Silz,1978,1144,28,1116,279,351,189,28,169,49,37,7,7,,,,,,
G70220,Sölden,2247,1223,16,1207,80,651,210,72,86,54,45,3,6,,,,,,
G70221,Stams,1037,635,16,619,92,189,119,11,112,48,27,14,7,,,,,,
G70222,Tarrenz,2118,1143,26,1117,151,368,282,20,115,112,57,6,6,,,,,,
G70223,Umhausen,2320,1424,18,1406,162,666,298,63,95,72,43,2,5,,,,,,
G70224,Wenns,1568,859,27,832,151,322,157,55,72,48,22,1,4,,,,,,
G70299,Wahlkarten - Imst,0,2246,29,2217,368,776,351,65,434,97,103,12,11,,,,,,
G70300,Innsbruck-Land,127916,88702,1079,87623,16226,26206,16839,2684,15001,4645,4863,599,560,,,,,,
G70301,Absam,5449,3440,45,3395,764,863,576,101,657,183,212,20,19,,,,,,
G70302,Aldrans,1755,1127,19,1108,145,354,166,25,251,55,96,7,9,,,,,,
G70303,Ampass,1258,805,5,800,91,214,179,31,139,54,68,17,7,,,,,,
G70304,Axams,4438,2832,29,2803,572,720,537,94,571,133,138,22,16,,,,,,
G70305,Baumkirchen,918,635,11,624,114,202,116,22,92,39,36,3,0,,,,,,
G70306,Birgitz,1037,661,5,656,93,203,122,41,117,39,34,1,6,,,,,,
G70307,Ellbögen,882,657,10,647,105,268,148,17,54,31,22,1,1,,,,,,
G70308,Flaurling,936,620,6,614,121,203,106,18,101,26,21,7,11,,,,,,
G70309,Fritzens,1619,1045,17,1028,224,265,249,36,119,76,48,3,8,,,,,,
G70310,Fulpmes,2959,1701,19,1682,282,570,375,38,229,98,77,6,7,,,,,,
G70311,Gnadenwald,558,386,5,381,38,157,50,10,60,24,37,1,4,,,,,,
G70312,Götzens,2995,1784,17,1767,331,477,378,64,294,92,111,12,8,,,,,,
G70313,Gries am Brenner,1007,672,6,666,122,233,167,21,59,30,24,5,5,,,,,,
G70314,Gries im Sellrain,473,302,2,300,49,143,63,7,21,7,8,1,1,,,,,,
G70315,Grinzens,1048,635,11,624,128,216,122,20,85,21,28,2,2,,,,,,
G70317,Gschnitz,341,230,6,224,35,96,50,10,13,12,7,1,0,,,,,,
G70318,Hatting,986,668,3,665,147,217,123,10,101,19,42,4,2,,,,,,
G70319,Inzing,2795,1734,29,1705,348,532,251,32,326,92,95,15,14,,,,,,
G70320,Kematen in Tirol,2052,1261,18,1243,256,375,223,37,226,53,64,5,4,,,,,,
G70322,Kolsass,1261,845,9,836,151,243,176,26,132,50,51,5,2,,,,,,
G70323,Kolsassberg,592,391,3,388,63,167,72,7,39,22,16,1,1,,,,,,
G70325,Lans,765,503,10,493,53,181,57,40,83,18,52,6,3,,,,,,
G70326,Leutasch,1551,868,12,856,91,409,123,30,112,61,25,3,2,,,,,,
G70327,Matrei am Brenner,724,471,6,465,151,125,98,19,30,16,21,2,3,,,,,,
G70328,Mieders,1289,828,10,818,112,281,155,47,119,51,47,2,4,,,,,,
G70329,Mils,3268,2151,35,2116,311,632,438,76,361,127,151,11,9,,,,,,
G70330,Mühlbachl,1010,664,10,654,141,282,104,18,53,44,10,1,1,,,,,,
